link_id;ticket_id;ticket_barcode;bracelet_id;bracelet_uid;timestamp;actie
256;136820;3329942447214;1582451;04057AEAA95281;2017-04-14 22:51:42.987;linktoken
257;138480;6384104890533;1622707;040971EAA95281;2017-04-14 22:51:49.800;linktoken
258;138075;6895792870689;1583153;04407DEAA95281;2017-04-14 22:51:53.527;linktoken
259;138479;3541532544817;1622682;0447EEEAA95281;2017-04-14 22:52:06.203;linktoken
260;138377;1962304623196;1620599;047101EAA95285;2017-04-14 22:52:06.637;linktoken
261;138377;1962304623196;1620599;;2017-04-14 22:52:07.447;removetoken
262;141382;1701775402691;1583187;0447A6EAA95280;2017-04-14 22:52:16.447;linktoken
263;138378;8029954196371;1622211;04D086EAA95280;2017-04-14 22:52:38.050;linktoken
264;123748;9863075667995;1621606;0431E1EAA95281;2017-04-14 22:53:06.080;linktoken
265;123745;5140549135773;1622719;042778EAA95281;2017-04-14 22:53:06.810;linktoken
266;123747;6259143169516;1622219;042EB4EAA95281;2017-04-14 22:53:15.193;linktoken
267;123746;6354054011739;1622723;041ED5EAA95280;2017-04-14 22:53:24.593;linktoken
268;121437;8827889454449;1622205;044AC5EAA95281;2017-04-14 22:53:45.107;linktoken
269;131852;1503582026080;1583129;04517CEAA95280;2017-04-14 22:53:52.567;linktoken
270;131852;1503582026080;1583129;;2017-04-14 22:53:53.453;removetoken
271;121436;8278913299428;1621107;048B10EAA95284;2017-04-14 22:53:58.203;linktoken
272;121439;5882915973335;1622181;0434B8EAA95280;2017-04-14 22:54:01.703;linktoken
273;121439;5882915973335;1622181;;2017-04-14 22:54:02.517;removetoken
274;131853;4998982712140;1583129;04517CEAA95280;2017-04-14 22:54:05.963;linktoken
275;121438;5696348678732;1621090;0483E6EAA95281;2017-04-14 22:54:20.727;linktoken
276;131852;1503582026080;1583159;04C9F0EAA95280;2017-04-14 22:54:22.267;linktoken
277;133840;4696056273336;1620584;047698EAA95280;2017-04-14 22:55:23.827;linktoken
278;139351;6817798845997;1622201;0476E3EAA95280;2017-04-14 22:55:43.100;linktoken
279;144636;8312729021542;1583148;0412ECEAA95281;2017-04-14 22:55:45.800;linktoken
280;131563;3408771553386;1582456;04B3ACEAA95280;2017-04-14 22:55:52.500;linktoken
281;138447;2782006867365;1622444;04DBE9EAA95280;2017-04-14 22:55:53.387;linktoken
282;144637;8303764468997;1581824;04420FEAA95285;2017-04-14 22:55:56.443;linktoken
283;139352;1973589435251;1622185;043DC5EAA95281;2017-04-14 22:55:56.680;linktoken
284;138448;5799700918689;1621646;041FC6EAA95280;2017-04-14 22:56:04.657;linktoken
285;144638;4022800150439;1581809;04C9F1EAA95280;2017-04-14 22:56:06.150;linktoken
286;131564;3473173476625;1583185;04EB01EAA95284;2017-04-14 22:56:21.747;linktoken
287;127943;7216392204244;1622183;04148EEAA95280;2017-04-14 22:56:26.060;linktoken
289;131565;9384932600165;1582463;04049EEAA95281;2017-04-14 22:56:33.913;linktoken
290;138446;2731497318528;1620904;042EF4EAA95280;2017-04-14 22:56:47.507;linktoken
291;131566;9432370981237;1583202;047ED8EAA95280;2017-04-14 22:56:50.797;linktoken
293;121197;3344751200614;1622431;045FD5EAA95281;2017-04-14 22:57:37.687;linktoken
294;121198;1758332577040;1621638;041EE7EAA95281;2017-04-14 22:57:45.773;linktoken
295;139376;9505678091899;1622449;043DE8EAA95281;2017-04-14 22:58:09.843;linktoken
